,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
141,Sr. Business Data Analyst,Live Nation,"Beverly Hills, CA","Conduct data analysis to identify or reconcile data differences among different platforms, including multiple international data lakes and sources, each…",Posted 22 days ago·,,Beverly Hills,CA,False
142,"Assistant Vice President, Expense Management & Analysis (Business Intelligence)","Oaktree Capital Management, L.P.","Los Angeles, CA","The ideal candidate will have demonstrated success in a project management or data visualization role, with a focus on financial data.",Posted 30+ days ago·,150000.0,Los Angeles,CA,False
143,"Quantum Research Scientist, AWS CQC Fabrication","Amazon Development Center U.S., Inc.","Pasadena, CA","We are looking for candidates with strong engineering principles, resourcefulness and data science experience.",Today·,124100.0,Pasadena,CA,False
144,"Senior Manager, Data Strategy",ServiceTitan,"Glendale, CA 91203 ",Ensure integration of data collection with data science requirements both for model development and real-time model execution.,Posted 30+ days ago·,,Glendale,CA,False
145,"Product Manager, Generative AI",Snapchat,"Los Angeles, CA 90291 ","Ability to collaborate and build trust with engineers, designers, data science and other cross-functional teammates.",Posted 30 days ago·,257000.0,Los Angeles,CA,False
146,Senior Machine Learning Engineer,Freeform,"Los Angeles, CA","Master's or PhD in computer science, applied mathematics, machine learning, data science highly preferred.",Posted 17 days ago·,250000.0,Los Angeles,CA,False
147,"Executive Director, Data Solutions Business Partnerships","Sony Pictures Entertainment, Inc.","Culver City, CA","Provide ongoing data product, advanced analytics and data-science Solutioning development support and coordination, representing business to support solution…",Posted 30+ days ago·,,Culver City,CA,False
148,Sr Data Governance Analyst,Disney Direct to Consumer,"Burbank, CA","Relevant degree or certification in library and information science, computer science, or data science.",Posted 14 days ago·,151100.0,Burbank,CA,False
149,"Sr. Analyst, HRIS & HR Analytics",Valley Presbyterian,"Van Nuys, CA 91405",Applying data science techniques to analyze data trends and generate insights to help inform continuous process improvement.,Posted 22 days ago·,68.75,Van Nuys,CA,False
150,Scheduling Pathways and Technology Director (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","UCLA Health runs and operates over 200 outpatient clinics located in Southern California with over 3,000,000 outpatient encounters annually.",Posted 30+ days ago·,250600.0,Los Angeles,CA,False
151,"Senior Manager, Biostatistics / Data Reporting and Analytics, KPSC R&E Behavioral & Health Services Research",Kaiser Permanente,"Pasadena, CA",Manages data preparation for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; approving process improvements and…,Posted 30+ days ago·,,Pasadena,CA,False
152,Chief Technology Officer,Voxelcloud,"Los Angeles, CA 90024",Excellent understanding of machine learning and data science.,Posted 30+ days ago·,,Los Angeles,CA,False
153,Weights & Mass Property Engineer (Mid-level or Senior),BOEING,"Hybrid remote in Long Beach, CA","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 7 days ago·,,Hybrid remote in Long Beach,CA,True
154,Data Analytics Manager,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",The Data Analytics Manager will manage the data science and analytics team at Millennium Space Systems.,Posted 30+ days ago·,223750.0,El Segundo,CA,False
155,"Manager, Ads FS&A - Revenue & Yield Analytics (UCAN)",Netflix,"Los Angeles, CA",Collaborate with MSFT to establish a sustainable and reliable data model throughout the Ad Tech stack to ensure consistent and accurate outputs.,Posted 21 days ago·,,Los Angeles,CA,False
156,Lead Data Analyst,Childrens Institute Inc,"Los Angeles, CA 90026",Ensures compliance with data governance policies and maintains data security standards while handling sensitive information.,Posted 27 days ago·,,Los Angeles,CA,False
157,AI Strategy Lead,Proper Hospitality,"Los Angeles, CA","Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·,250000.0,Los Angeles,CA,False
158,"Executive Director, Analytics - CW Network - Burbank, CA",Nexstar Broadcasting,"Burbank, CA",Improving data quality and efficiency across all data sets.,Posted 30+ days ago·,175000.0,Burbank,CA,False
159,"Manager, Data Engineering (Pricing)",EVgo,"Los Angeles, CA 90064",Interest in performing other tasks such as data analysis and data validation.,Posted 7 days ago·,,Los Angeles,CA,False
160,"Associate Director, Analytics","Horizon Media, Inc.","Los Angeles, CA",25% Being curious to find better ways to help our clients through applied data science.,Posted 30+ days ago·,145000.0,Los Angeles,CA,False
161,"Data Scientist, Product Analytics",TikTok,"Hybrid remote in Los Angeles, CA","Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,228000.0,Hybrid remote in Los Angeles,CA,True
162,Programmer/Analyst - Artificial Intelligence in Medicine (AIM),CEDARS-SINAI,"Los Angeles, CA",Additional responsibilities include the opportunity to participate in making strategic data-related decisions by analyzing and manipulating data and building…,Posted 30+ days ago·,,Los Angeles,CA,False
163,Senior Project Engineer,BOEING,"Long Beach, CA","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 13 days ago·,165600.0,Long Beach,CA,False
164,"Vice President, Analytics",Lionsgate,"Santa Monica, CA 90404",Building BI tools and teams to visualize data for non-technical audiences.,Posted 30+ days ago·,185000.0,Santa Monica,CA,False
165,Adjunct Lecturer/Co-Instructor of Communication – Methodological Fundamentals of Big Data in Communication,USC,"Los Angeles, CA 90089 ","Work experience in research and data science functions in social media, games, entertainment, content and/or consumer facing sectors such as Meta, Google, Apple…",Posted 7 days ago·,,Los Angeles,CA,False
166,Programmer/Analyst - Smidt Heart Institute,CEDARS-SINAI,"Los Angeles, CA","Bachelor’s degree required, preferable in computer science or data science.",Posted 30+ days ago·,,Los Angeles,CA,False
167,"Staff Machine Learning Engineer, 8+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",Advanced degree in computer science or related field.,Posted 30+ days ago·,283000.0,Los Angeles,CA,False
168,Scientific Research Associate - Jonsson Cancer Center,UCLA Health,"Los Angeles, CA 90095",Prior experience working in thewet-lab component of a large cancer data science group would be considered akey asset.,Posted 30+ days ago·,58.14,Los Angeles,CA,False
169,Senior Statistician - Ophthalmology,UCLA Health,"Los Angeles, CA 90095",Experience developing applications with relational database and data access; SQL.,Posted 30+ days ago·,,Los Angeles,CA,False
170,Data Engineer III,System1,"Hybrid remote in Los Angeles, CA 90066","The data that flows through these systems supports business intelligence, data science and machine learning, traffic quality and analytics.",Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
171,"Director, AI Strategy",Herbalife,"Remote in Torrance, CA 90502","Collaborate with the data governance team to establish data quality, data privacy, and data security practices.",Posted 30+ days ago·,,Remote in Torrance,CA,True
172,"Sr. Data Analyst, Brand Marketing",Golden Hippo,"Hybrid remote in Los Angeles, CA","Using familiarity with tools such as BigQuery, Fivetran, and other data orchestration platforms, maintain the accuracy of data through data quality controls and…",Posted 30+ days ago·,116800.0,Hybrid remote in Los Angeles,CA,True
173,Applied Scientist,"Amazon Development Center U.S., Inc. - B02","Pasadena, CA","PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience.",Posted 14 days ago·,136000.0,Pasadena,CA,False
174,Senior Data Engineer - Remote (US Based),UpRecruit,"Remote in Los Angeles, CA","Collaborate with data science and product management teams to design, prototype, and launch new data products swiftly.",Active 2 days ago·,180000.0,Remote in Los Angeles,CA,True
175,Senior Accountant,Resident,"Remote in Los Angeles, CA","We are a disruptor in the broader home furnishings category underpinned by deep and proven expertise in data science & analytics, performance marketing, and e…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
176,Marketing Science Partner - Amazon,Meta,"Los Angeles, CA 90066 ","Advanced degree in a quantitative field such as engineering, analytics, statistics, or data science related fields.",Posted 27 days ago·,221000.0,Los Angeles,CA,False
177,"Software Engineer, Starlink Customer Success",SpaceX,"Hawthorne, CA","Professional experience in analytics, data science, or machine learning.",Posted 30+ days ago·,145000.0,Hawthorne,CA,False
178,"Manager, Enterprise Reporting & Analytics",UCLA,"Los Angeles, CA",Experience in data science and artificial intelligence.,Posted 13 days ago·,158620.0,Los Angeles,CA,False
179,"Patents | Patent Agent (Biophysics, Bioinformatics, AI Machine Learning)",Norton Rose Fulbright,"Los Angeles, CA 90071 ",Salaries in other markets will vary depending on market data.,Posted 2 days ago·,,Los Angeles,CA,False
180,AI Training for Physics,Outlier,3.7,"Help train AI models to become more accurate, relevant, and safe in Physics!",Today,50.0,,,False
181,Oncology Key Account Manager,Inizio Engage,3.5,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Posted 30+ days ag,,,,False
182,"Senior Analytics Engineer, ASE",Apple,"Culver City, CA","7+ years of experience building self serve data products for internal partners, or in other relevant data engineering or data science capacities.",Posted 4 days ago·,284900.0,Culver City,CA,False
183,DATA SCIENTIST SUPERVISOR,Los Angeles County Department of Human Resources,"Los Angeles County, CA",Stays current with and contributes to discovery of data science best practices; mentors staff and ensures the section maintains ongoing training and…,Posted 30+ days ago·,,Los Angeles County,CA,False
184,Charge Capture Coordinator - Clinical Revenue Integrity,Keck Medical Center of USC,"Alhambra, CA",Req Must have excellent data entry and quality outcome skills.,Posted 14 days ago·,45.2,Alhambra,CA,False
185,"Tech Lead Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA","Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,389500.0,Los Angeles,CA,False
186,Data Cloud Solutions Consultant,Zeta Global,"El Segundo, CA",Comprehensive understanding of data-driven marketing and analytics.,Posted 2 days ago·,100000.0,El Segundo,CA,False
187,Senior Data Scientist - LLM,Spotter,"Culver City, CA","In addition to funding, Spotter provides creators with in-depth data insights into the performance of their existing content, enabling them to leverage the full…",Posted 30+ days ago·,,Culver City,CA,False
188,"Software Engineers (Experienced, Senior) Virtual",BOEING,"Long Beach, CA","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 2 days ago·,177100.0,Long Beach,CA,False
189,"Senior Data Engineer, Blockchain",Circle,"Remote in Los Angeles, CA","Being a domain expert on data modeling, data pipelines, data quality and data warehousing.",Posted 4 days ago·,195000.0,Remote in Los Angeles,CA,True
190,Principal Machine Learning Engineer,Disney Direct to Consumer,"Santa Monica, CA","Partnership: Partner closely with stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around data…",Posted 1 day ago·,266800.0,Santa Monica,CA,False
191,Director of Partnerships,STRV,"Los Angeles, CA 90291","Lead from the front, exemplifying independence, strategic thinking and decision-making in all parts of the sales cycle while helping their team do the same.",Posted 30+ days ago·,,Los Angeles,CA,False
192,Research & Litigation Services Attorney – Artificial Intelligence,Latham & Watkins LLP,"Los Angeles, CA 90013 ",The Research & Litigation Services Attorney – Artificial Intelligence (AI Attorney) is an integral part of Latham’s Litigation Services team.,Posted 1 day ago·,180000.0,Los Angeles,CA,False
193,Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,4.2,"5-12+ years of experience in a technical environment, including data science, engineering, or technical program/product management.",Posted 1 day ag,,,,False
194,Sales Director,Pixability,"Los Angeles, CA",Phenomenal presentation skills that bring data and analytics to life with an affinity for understanding and leveraging data to support your clients.,Today·,,Los Angeles,CA,False
195,Automotive Marketing Analyst,Lumenance,"Torrance, CA","Data Analysis: Identify, analyze, and develop predictive models and interpret trends or patterns using data sets of varying size and complexity.",Posted 30+ days ago·,,Torrance,CA,False
196,"Sr. Specialist, Advanced Analytics",DIRECTV,"Remote in El Segundo, CA","3 - 5 years of related experience in data science, advanced analytics, and machine learning.",Posted 7 days ago·,,Remote in El Segundo,CA,True
197,"Sr Product Manager I, Data Solutions & Instrumentation (ESPN Fantasy)",Disney Entertainment & ESPN Technology,"Santa Monica, CA","Advanced degree in computer science, information systems, software, or data science.",Posted 30+ days ago·,182490.0,Santa Monica,CA,False
198,"Senior Data Scientist, Blockchain",Circle,"Remote in Los Angeles, CA","5+ years of experience in data analysis or data science, with 2+ years focusing on blockchain data.",Posted 17 days ago·,195000.0,Remote in Los Angeles,CA,True
199,"Senior Manager, Data Science - Advertising Measurement - Walmart Connect",Walmart,"Los Angeles, CA 90066 ",Partner with cross-functional team to streamline data science solutions.,Posted 27 days ago·,264000.0,Los Angeles,CA,False
200,Sr. Bioinformatician - Jonsson Cancer Center,UCLA Health,"Los Angeles, CA 90095",Four years’ biological and data science experience.,Posted 30+ days ago·,,Los Angeles,CA,False
201,Senior ML Engineer,Kindo,"Venice, CA","Empathy, open-mindedness, and constructive feedback: Respect diverse working styles, encourage data-informed decisions, and build understanding and trust…",Posted 30+ days ago·,,Venice,CA,False
202,Senior Product Manager,Sidecar Health,"Remote in Los Angeles, CA","Bachelor's or master's degree in computer science, data science, information systems, business administration, or a related field.",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
203,Consultant Artificial Intelligence / Machine Learning Engineer (AI/ML),Specular Theory,"Venice, CA",Help leverage our in-house technology and ensure our system can also communicate and utilize existing AI/ML systems.,Posted 30+ days ago·,,Venice,CA,False
204,Claims Research/ Data Analyst Sr (EDI/Edifecs),Molina Healthcare,"Long Beach, CA 90802",Validates data received on claims to identify billing issues that will impact claims processing and payment.,Posted 30+ days ago·,129589.63,Long Beach,CA,False
205,"(Open Rank) Assistant, Associate, Full Professor of Industrial and Systems Engineering",USC,"Los Angeles, CA",Candidates at the senior ranks must have demonstrated research excellence and sustained commitment to the discipline and are expected to have a vibrant research…,Posted 30+ days ago·,,Los Angeles,CA,False
206,"Director, Inventory & Yield Management",GoodRx,"Santa Monica, CA 90401 ",4+ years experience in quantitative or data analysis/data science.,Posted 30+ days ago·,279000.0,Santa Monica,CA,False
207,"Scientific Data Analyst, Sr. / Heart Institute Research",Children's Hospital Los Angeles,"Los Angeles, CA",To establish and support a data server and facilitate web-based user access to data.,Posted 30+ days ago·,,Los Angeles,CA,False
208,Senior Process Engineer (Advanced R&D),Freeform,"Los Angeles, CA",Experience with machine learning or data science.,Posted 17 days ago·,200000.0,Los Angeles,CA,False
209,Analytics and Visualization Data Scientist,Booz Allen,"El Segundo, CA","2+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining.",Posted 14 days ago·,166000.0,El Segundo,CA,False
210,"Manager, Machine Learning",Numerade,"Remote in Los Angeles, CA",Experience with data warehouses and data lakes.,Posted 30+ days ago·,,Remote in Los Angeles,CA,True
211,"Staff Machine Learning Engineer, Public Company",Recruiting From Scratch,"Torrance, CA","Collect, analyze, and synthesize findings from data and build intelligent data-driven model.",Posted 25 days ago·,220000.0,Torrance,CA,False
212,"Staff Data Scientist, Advanced Analytics and Engineering",Match Group,"Hybrid remote in West Hollywood, CA","The ideal candidate will have the right mix of hard and soft skills that allows them to technically mentor data scientists, while also effectively communicating…",Posted 30+ days ago·,220000.0,Hybrid remote in West Hollywood,CA,True
213,Senior Data Architect,USC,"Los Angeles, CA","8 years in information technology, big data, data science, analytics platforms and/or higher education.",Posted 30+ days ago·,170000.0,Los Angeles,CA,False
214,Senior Electrical Design Engineer,BOEING,"Hybrid remote in Long Beach, CA","Collect, organize, synthesize, and analyze data; summarize findings; develop conclusions and recommendations from appropriate data sources.",Posted 2 days ago·,173650.0,Hybrid remote in Long Beach,CA,True
215,"Director, Analytics - Creator (Customer) Insights",Spotter,"Los Angeles, CA",Ability to troubleshoot data-related issues.,Posted 17 days ago·,500000.0,Los Angeles,CA,False
216,Lead Hardware Reliability Engineer (Starlink Product),SpaceX,"Hawthorne, CA","Professional experience in analytics, data science, or machine learning.",Posted 24 days ago·,175000.0,Hawthorne,CA,False
217,"Data Scientist 2, Marketing Optimization Analytics",Nordstrom Inc,"Los Angeles, CA",“LOVE” the engineering and architecture portion of data science work gain satisfaction in deploying useful data products that make business impact.,Posted 3 days ago·,187500.0,Los Angeles,CA,False
218,Master of Applied Statistics and Data Science Lecturer - Spring 2024,UCLA,"Los Angeles, CA","Ideal candidates will have a Ph.D. in Statistics (or a related field) or relevant industry experience, a demonstrated excellence in teaching, knowledge of and…",Posted 21 days ago·,109516.0,Los Angeles,CA,False
219,Programmer/Analyst (Research Software Engineer) - Slomka Lab - Artificial Intelligence in Medicine (AIM) Program,CEDARS-SINAI,"Los Angeles, CA","Develops software methods for deep learning analysis and segmentation of image data, and data reconstruction.",Posted 30+ days ago·,137300.0,Los Angeles,CA,False
220,Data/GIS Analyst - Advanced Analytics Specialist,Hazen and Sawyer,"Los Angeles, CA 90017","Proficiency in database development, data analytics, and data models.",Posted 30+ days ago·,85000.0,Los Angeles,CA,False
221,Chief AI Officer,Proper Hospitality,"Los Angeles, CA","Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·,250000.0,Los Angeles,CA,False
222,Senior Manager Marketing Analytics DIG,Providence Digital Innovation Group,"Los Angeles, CA 90006","5 years Data Science/ Advanced statistical modeling of marketing data: regression-based propensity models, marketing/media mix models, multi-touch attribution.",Posted 30+ days ago·,132.61,Los Angeles,CA,False
223,Principal AM Process Development Engineer,Divergent 3D,"Torrance, CA",7)Assure proper formulation and design of experiments and thorough documentation of technical data generated for the assigned projects and / or tasks consistent…,Posted 30+ days ago·,210000.0,Torrance,CA,False
224,"Senior Director, Analytics - Ad Sales",Spotter,"Los Angeles, CA","Experience with data mining, and/or predictive modeling, and data interpretation.",Posted 13 days ago·,500000.0,Los Angeles,CA,False
