,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
53,Machine Learning Scientist (L4) - Content DSE,Netflix,"Los Angeles, CA","Los Angeles, California Data Science and Engineering Netflix is one of the world's leading entertainment services with over 260 million paid memberships in…",Posted 7 days ago·,,Los Angeles,CA,False
54,Decision Scientist - Metaverse,Meta,"Los Angeles, CA 90066 ",The Marketing team focuses on building Meta's brand presence by improving user sentiment and product education. Our Marketing team seeks to understand how our…,Posted 13 days ago·,185000.0,Los Angeles,CA,False
55,"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,"Los Angeles, CA",This role is with RippleMatch's partner companies. About RippleMatch RippleMatch is the recruitment automation platform changing how Gen Z finds work. By…,Posted 1 day ago·,,Los Angeles,CA,False
56,"Sr. Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,"Los Angeles, CA",Job Description Nordstrom is reinventing the retail industry through the power of data and artificial intelligence. The vision for Data Science & Analytics…,Posted 10 days ago·,252500.0,Los Angeles,CA,False
57,"Lead Data Analyst, Influence Operations - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
58,"Developer, Data Insights & Analytics",USC,"Los Angeles, CA","The University of Southern California (USC), founded in 1880, is in the heart of downtown L.A. and is the largest private employer in the City of Los Angeles.…",Posted 30+ days ago·,,Los Angeles,CA,False
59,MLOps and Data Engineer,Congruent,"Los Angeles, CA",Company Machina Labs is a Los Angeles based technology company combining AI and robotics to build the next generation of manufacturing capabilities. Founded…,Posted 1 day ago·,,Los Angeles,CA,False
60,AI Training for Physics,Outlier,3.7,"Help train AI models to become more accurate, relevant, and safe in Physics!",Today,50.0,,,False
61,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
62,"Sr Data Scientist, Product Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,312866.0,Hybrid remote in Los Angeles,CA,True
63,Data Scientist,AE Studio,"Los Angeles, CA","Experience calling machine learning APIs via REST or client libraries - and determining that their responses lack wit, guile, and tact.",Posted 30+ days ago·,,Los Angeles,CA,False
64,Applied Scientist I,Capital Group Companies,"Los Angeles, CA",You will conduct research and experimentation to identify and implement state-of-the-art methodologies in large language modeling and analyze patterns from…,Posted 30+ days ago·,266482.0,Los Angeles,CA,False
65,"Data Reporting and Analytics Consultant IV / Biostatistician, Biostatistics Research",Kaiser Permanente,"Pasadena, CA",Prepares data for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; profiling data inaccuracies and recommending…,Posted 30+ days ago·,,Pasadena,CA,False
66,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA","Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Posted 11 days ago·,145000.0,Hawthorne,CA,False
67,Staff Data Scientist,GOBankingRates,"Remote in Los Angeles, CA","Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
68,"Manager, Data Analytics",StackCommerce,"Remote in Venice, CA",Enhance transparency around data decisions: document and publish data governance decisions and run-down data quality issues at the source.,Posted 30+ days ago·,,Remote in Venice,CA,True
69,Machine Learning Engineer,Centerfield,"Hybrid remote in Los Angeles, CA","You will help design the data science programs, machine learning models, and architecture to support Generative AI .",Posted 10 days ago·,180000.0,Hybrid remote in Los Angeles,CA,True
70,Software Engineer,National Football League,"Inglewood, CA","Degree in computer science, engineering, data science or related field preferred.",Posted 30+ days ago·,,Inglewood,CA,False
71,Sr. Data Analyst,MaryRuth's,"Remote in Los Angeles, CA","Maintain the data lifecycle, including consolidating raw data into a reporting layer to include groomed business logic and KPIs, partnering with tech functions…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
72,"Staff Analyst, Health – Product Designer",Heluna Health,"Hybrid remote in Los Angeles, CA 90014","Monitors data quality and completeness, and implements data improvement procedures, as needed.",Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
73,Machine Learning Engineer,Tencent,"Los Angeles, CA",Create meaningful and relevant features from game data to improve model performance and accuracy.,Posted 30+ days ago·,,Los Angeles,CA,False
74,"Senior Director, Data Science",Red Bull,"Santa Monica, CA ",3+ years' experience hiring and managing data science teams.,Posted 30+ days ago·,194250.0,Santa Monica,CA,False
75,Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active Today,160000.0,Los Angeles,CA,False
76,Senior Business Data Analyst,East West Bank,"Pasadena, CA 91101 ",Troubleshoot and root cause data anomalies.,Posted 7 days ago·,,Pasadena,CA,False
77,Senior Data Scientist,Warner Bros Careers,"Culver City, CA",You will work with the data science team to implement best practices in data and code quality and collaborate with business stakeholders to solve broader…,Posted 20 days ago·,222300.0,Culver City,CA,False
